pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.583318600023631,None,0,0,0,0,,,,,0.015111199987586588,,0.011541399988345802,0.015111199987586588,1.0074234000057913,1.0074234000057913,1.0074234000057913,1.0074234000057913,1.0242469999939203,2.0063372000004165,2.0063372000004165,2.615113299980294,x,1,0.583318600023631,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
150,v,1,1,0,v,1,0.5193131999694742,None,0,1,1,1,,,,,2.623813499987591,,2.6159427000093274,2.623813499987591,3.623448800004553,3.623448800004553,3.623448800004553,3.623448800004553,3.623448800004553,4.624269799969625,4.624269799969625,5.157479399989825,v,1,0.5193131999694742,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
50,c,2,2,0,c,1,0.5200087000266649,None,0,2,2,2,,,,,5.173799999989569,,5.1583193999831565,5.173799999989569,6.157510499993805,6.157510499993805,6.157510499993805,6.157510499993805,6.173885700001847,7.157559700019192,7.157559700019192,7.691289099981077,c,1,0.5200087000266649,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
-150,z,3,3,0,z,1,0.37490019999677315,None,0,3,3,3,,,,,7.707768999971449,,7.691848399990704,7.707768999971449,8.690290200000163,8.690290200000163,8.690290200000163,8.690290200000163,8.707086600014009,9.690958499966655,9.690958499966655,10.074234600004274,z,1,0.37490019999677315,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
-50,x,4,0,1,x,1,0.2651727999909781,None,1,0,4,0,,,,,10.090646399999969,,10.074702900019474,10.090646399999969,11.07369769999059,11.07369769999059,11.07369769999059,11.07369769999059,11.090296700014733,12.074048999988008,12.074048999988008,12.340956199972425,x,1,0.2651727999909781,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
150,v,5,1,1,v,1,0.3489488000050187,None,1,1,5,1,,,,,12.357237700023688,,12.34141950000776,12.357237700023688,13.356660299992654,13.356660299992654,13.356660299992654,13.356660299992654,13.356660299992654,14.34080449998146,14.34080449998146,14.69096300000092,v,1,0.3489488000050187,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
50,c,6,2,1,c,1,0.4218566999770701,None,1,2,6,2,,,,,14.707284400006756,,14.691483000002336,14.707284400006756,15.690775899973232,15.690775899973232,15.690775899973232,15.690775899973232,15.707608299970161,16.690593199979048,16.690593199979048,17.124556199996732,c,1,0.4218566999770701,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
-150,z,7,3,1,z,1,0.40976929996395484,None,1,3,7,3,,,,,17.14026010001544,,17.125130700005684,17.14026010001544,18.123786600015592,18.123786600015592,18.123786600015592,18.123786600015592,18.14053699997021,19.140088099986315,19.140088099986315,19.558697199972812,z,1,0.40976929996395484,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
-50,x,8,0,2,x,1,0.4072726999875158,None,2,0,8,0,,,,,19.573861200013198,,19.559535200009122,19.573861200013198,20.57384029997047,20.57384029997047,20.57384029997047,20.57384029997047,20.57384029997047,21.57335309998598,21.57335309998598,21.99064560001716,x,1,0.4072726999875158,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
150,v,9,1,2,v,1,0.4772270999965258,None,2,1,9,1,,,,,22.00716119998833,,21.99106299999403,22.00716119998833,22.99031169997761,22.99031169997761,22.99031169997761,22.99031169997761,23.006716999982018,23.990668700018432,23.990668700018432,24.47460850002244,v,1,0.4772270999965258,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
50,c,10,2,2,c,1,0.4157382000121288,None,2,2,10,2,,,,,24.490724999981467,,24.475106399971992,24.490724999981467,25.47377849998884,25.47377849998884,25.47377849998884,25.47377849998884,25.490557399985846,26.473602499987464,26.473602499987464,26.90775900002336,c,1,0.4157382000121288,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
-150,z,11,3,2,z,1,0.31373950000852346,None,2,3,11,3,,,,,26.923899199988227,,26.90820750000421,26.923899199988227,27.907286899979226,27.907286899979226,27.907286899979226,27.907286899979226,27.923721999977715,28.907264699984808,28.907264699984808,29.22389199997997,z,1,0.31373950000852346,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
-50,x,12,0,3,x,1,0.42101370001910254,None,3,0,12,0,,,,,29.240908599982504,,29.224278800014872,29.240908599982504,30.224149900022894,30.224149900022894,30.224149900022894,30.224149900022894,30.240985899989028,31.223735200008377,31.223735200008377,31.65860349999275,x,1,0.42101370001910254,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
150,v,13,1,3,v,1,0.4884221000247635,None,3,1,13,1,,,,,31.674217999971006,,31.65925359999528,31.674217999971006,32.67366269999184,32.67366269999184,32.67366269999184,32.67366269999184,32.67366269999184,33.673561199975666,33.673561199975666,34.17550840001786,v,1,0.4884221000247635,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
50,c,14,2,3,c,1,0.46087579999584705,None,3,2,14,2,,,,,34.19061489996966,,34.17618050001329,34.19061489996966,35.190920599969104,35.190920599969104,35.190920599969104,35.190920599969104,35.190920599969104,36.191131500003394,36.191131500003394,36.65725819999352,c,1,0.46087579999584705,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
-150,z,15,3,3,z,1,0.5394505999865942,None,3,3,15,3,,,,,36.67395389999729,,36.65778399998089,36.67395389999729,37.657576599973254,37.657576599973254,37.657576599973254,37.657576599973254,37.67421099997591,38.65730349998921,38.65730349998921,39.2079738000175,z,1,0.5394505999865942,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
-50,x,16,0,4,x,1,0.545842400053516,None,4,0,16,0,,,,,39.223543100000825,,39.20851450000191,39.223543100000825,40.20737289998215,40.20737289998215,40.20737289998215,40.20737289998215,40.22390549996635,41.206724199990276,41.206724199990276,41.75768530002097,x,1,0.545842400053516,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
150,v,17,1,4,v,1,0.5391162000014447,None,4,1,17,1,,,,,41.77361099998234,,41.75813530001324,41.77361099998234,42.75723549997201,42.75723549997201,42.75723549997201,42.75723549997201,42.7737044999958,43.757606700004544,43.757606700004544,44.30755259998841,v,1,0.5391162000014447,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
50,c,18,2,4,c,1,0.9443277000100352,None,4,2,18,2,,,,,44.323220899968874,,44.30810660001589,44.323220899968874,45.32303139998112,45.32303139998112,45.32303139998112,45.32303139998112,45.32303139998112,46.30727220000699,46.30727220000699,47.25740589998895,c,1,0.9443277000100352,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
-150,z,19,3,4,z,1,0.6346573000191711,None,4,3,19,3,,,,,47.273930399969686,,47.25786239997251,47.273930399969686,48.25725219998276,48.25725219998276,48.25725219998276,48.25725219998276,48.27414719999069,49.256937099969946,49.256937099969946,49.90808829996968,z,1,0.6346573000191711,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
-50,x,20,0,5,x,1,1.0923303999588825,None,5,0,20,0,,,,,49.92430680000689,,49.908625999989454,49.92430680000689,50.92368259996874,50.92368259996874,50.92368259996874,50.92368259996874,50.92368259996874,51.90750059997663,51.90750059997663,53.0081239999854,x,1,1.0923303999588825,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
150,v,21,1,5,v,1,0.4634838000056334,None,5,1,21,1,,,,,53.02400649996707,,53.00865009997506,53.02400649996707,54.007299199991394,54.007299199991394,54.007299199991394,54.007299199991394,54.0236643999815,55.02383259998169,55.02383259998169,55.49104140000418,v,1,0.4634838000056334,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
50,c,22,2,5,c,1,0.6274507000343874,None,5,2,22,2,,,,,55.5073736999766,,55.49147319997428,55.5073736999766,56.49031909997575,56.49031909997575,56.49031909997575,56.49031909997575,56.507405399985146,57.49049830000149,57.49049830000149,58.124758999969345,c,1,0.6274507000343874,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
-150,z,23,3,5,z,1,0.5552482000202872,None,5,3,23,3,,,,,58.140042099985294,,58.12515600002371,58.140042099985294,59.140619200014044,59.140619200014044,59.140619200014044,59.140619200014044,59.140619200014044,60.12365690001752,60.12365690001752,60.69125650002388,z,1,0.5552482000202872,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
-50,x,24,0,6,x,1,0.5293951999628916,None,6,0,24,0,,,,,60.70782640000107,,60.691798500018194,60.70782640000107,61.69072559999768,61.69072559999768,61.69072559999768,61.69072559999768,61.70761149999453,62.707112599979155,62.707112599979155,63.24105199996848,x,1,0.5293951999628916,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
150,v,25,1,6,v,1,0.6435323000187054,None,6,1,25,1,,,,,63.25678469997365,,63.24147529999027,63.25678469997365,64.24049110000487,64.24049110000487,64.24049110000487,64.24049110000487,64.25685529998736,65.24013059999561,65.24013059999561,65.8916624999838,v,1,0.6435323000187054,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
50,c,26,2,6,c,1,0.3762193000293337,None,6,2,26,2,,,,,65.90706970001338,,65.89220760000171,65.90706970001338,66.90779630001634,66.90779630001634,66.90779630001634,66.90779630001634,66.90779630001634,67.9070491999737,67.9070491999737,68.29102369997418,c,1,0.3762193000293337,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
-150,z,27,3,6,z,1,1.2048222999437712,None,6,3,27,3,,,,,68.30771470000036,,68.29148590000113,68.30771470000036,69.29051049996633,69.29051049996633,69.29051049996633,69.29051049996633,69.30758179997792,70.3071458999766,70.3071458999766,71.52462769998237,z,1,1.2048222999437712,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
-50,x,28,0,7,x,1,0.8246179999550804,None,7,0,28,0,,,,,71.54096189996926,,71.52519600000232,71.54096189996926,72.52395589998923,72.52395589998923,72.52395589998923,72.52395589998923,72.54096169996774,73.54080389998853,73.54080389998853,74.37501740001608,x,1,0.8246179999550804,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
150,v,29,1,7,v,1,0.5175283999997191,None,7,1,29,1,,,,,74.3901253999793,,74.37559100001818,74.3901253999793,75.37400449998677,75.37400449998677,75.37400449998677,75.37400449998677,75.39052129996708,76.390947900014,76.390947900014,76.92347400001017,v,1,0.5175283999997191,None,,,,,01,001,2025-10-04_22h45.36.722,motor sequencing,,2025.1.1,59.87726359850596,2025-10-04 22h45.46.145630 +0530,
