pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.46105890002218075,None,0,0,0,0,,,,,0.011358199990354478,,0.008277299988549203,0.011358199990354478,0.9993065999879036,0.9993065999879036,0.9993065999879036,0.9993065999879036,1.0159576000005472,2.0151819000020623,2.0151819000020623,2.488004299986642,x,1,0.46105890002218075,None,,,,,03,001,2025-10-04_18h35.03.780,motor sequencing,,2025.1.1,60.00142803089072,2025-10-04 18h35.13.141000 +0530,
150,v,1,1,0,v,1,1.1324462000047788,None,0,1,1,1,,,,,2.49845300000743,,2.488396200002171,2.49845300000743,3.4986516000062693,3.4986516000062693,3.4986516000062693,3.4986516000062693,3.4986516000062693,4.4992894000024535,4.4992894000024535,5.632361399999354,v,1,1.1324462000047788,None,,,,,03,001,2025-10-04_18h35.03.780,motor sequencing,,2025.1.1,60.00142803089072,2025-10-04 18h35.13.141000 +0530,
50,c,2,2,0,c,1,0.978237800009083,None,0,2,2,2,,,,,5.648611399985384,,5.632837699988158,5.648611399985384,6.631812999985414,6.631812999985414,6.631812999985414,6.631812999985414,6.648506300000008,7.632195399986813,7.632195399986813,8.616877199994633,c,1,0.978237800009083,None,,,,,03,001,2025-10-04_18h35.03.780,motor sequencing,,2025.1.1,60.00142803089072,2025-10-04 18h35.13.141000 +0530,
-150,z,3,3,0,z,1,0.5540885000082199,None,0,3,3,3,,,,,8.63266420000582,,8.617574900010368,8.63266420000582,9.632595000002766,9.632595000002766,9.632595000002766,9.632595000002766,9.632595000002766,10.632289100001799,10.632289100001799,11.199985699990066,z,1,0.5540885000082199,None,,,,,03,001,2025-10-04_18h35.03.780,motor sequencing,,2025.1.1,60.00142803089072,2025-10-04 18h35.13.141000 +0530,
-50,x,4,0,1,x,1,0.6301327000255696,None,1,0,4,0,,,,,11.215589200000977,,11.200401499983855,11.215589200000977,12.21570500000962,12.21570500000962,12.21570500000962,12.21570500000962,12.21570500000962,13.215332699997816,13.215332699997816,13.849993999989238,x,1,0.6301327000255696,None,,,,,03,001,2025-10-04_18h35.03.780,motor sequencing,,2025.1.1,60.00142803089072,2025-10-04 18h35.13.141000 +0530,
150,v,5,1,1,v,1,0.36433199999737553,None,1,1,5,1,,,,,13.865916799986735,,13.850377700000536,13.865916799986735,14.86522179999156,14.86522179999156,14.86522179999156,14.86522179999156,14.86522179999156,15.848863199993502,15.848863199993502,16.216066399996635,v,1,0.36433199999737553,None,,,,,03,001,2025-10-04_18h35.03.780,motor sequencing,,2025.1.1,60.00142803089072,2025-10-04 18h35.13.141000 +0530,
50,c,6,2,1,c,1,0.7251094999955967,None,1,2,6,2,,,,,16.23185419998481,,16.21675389999291,16.23185419998481,17.231832899997244,17.231832899997244,17.231832899997244,17.231832899997244,17.231832899997244,18.216081799997482,18.216081799997482,18.950149299984332,c,1,0.7251094999955967,None,,,,,03,001,2025-10-04_18h35.03.780,motor sequencing,,2025.1.1,60.00142803089072,2025-10-04 18h35.13.141000 +0530,
-150,z,7,3,1,z,1,0.4656681999913417,None,1,3,7,3,,,,,18.965974499995355,,18.95061239998904,18.965974499995355,19.949289599986514,19.949289599986514,19.949289599986514,19.949289599986514,19.965495699987514,20.9487933999917,20.9487933999917,21.41626249998808,z,1,0.4656681999913417,None,,,,,03,001,2025-10-04_18h35.03.780,motor sequencing,,2025.1.1,60.00142803089072,2025-10-04 18h35.13.141000 +0530,
-50,x,8,0,2,x,1,0.4157112999819219,None,2,0,8,0,,,,,21.4325886000006,,21.416870199987898,21.4325886000006,22.432127100008074,22.432127100008074,22.432127100008074,22.432127100008074,22.432127100008074,23.41591919999337,23.41591919999337,23.83320960000856,x,1,0.4157112999819219,None,,,,,03,001,2025-10-04_18h35.03.780,motor sequencing,,2025.1.1,60.00142803089072,2025-10-04 18h35.13.141000 +0530,
150,v,9,1,2,v,1,0.5274047999992035,None,2,1,9,1,,,,,23.849328199983574,,23.833838599995943,23.849328199983574,24.850697399990167,24.850697399990167,24.850697399990167,24.850697399990167,24.850697399990167,25.848811500007287,25.848811500007287,26.382763900008285,v,1,0.5274047999992035,None,,,,,03,001,2025-10-04_18h35.03.780,motor sequencing,,2025.1.1,60.00142803089072,2025-10-04 18h35.13.141000 +0530,
