pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.3419907999923453,None,0,0,0,0,,,,,0.011566100001800805,,0.008483900019200519,0.011566100001800805,1.003036800015252,1.003036800015252,1.003036800015252,1.003036800015252,1.0196774000069126,2.002319899998838,2.002319899998838,2.359923100011656,x,1,0.3419907999923453,None,,,,,04,001,2025-10-04_18h46.30.470,motor sequencing,,2025.1.1,59.83215882123105,2025-10-04 18h46.38.337251 +0530,
150,v,1,1,0,v,1,0.553458700014744,None,0,1,1,1,,,,,2.3689700000104494,,2.3602562000160106,2.3689700000104494,3.3699101000092924,3.3699101000092924,3.3699101000092924,3.3699101000092924,3.3699101000092924,4.369273599993903,4.369273599993903,4.93714120000368,v,1,0.553458700014744,None,,,,,04,001,2025-10-04_18h46.30.470,motor sequencing,,2025.1.1,59.83215882123105,2025-10-04 18h46.38.337251 +0530,
50,c,2,2,0,c,1,0.5598220999818295,None,0,2,2,2,,,,,4.953007500007516,,4.9375281000102405,4.953007500007516,5.936260400019819,5.936260400019819,5.936260400019819,5.936260400019819,5.952422700007446,6.952693900006125,6.952693900006125,7.519610999996075,c,1,0.5598220999818295,None,,,,,04,001,2025-10-04_18h46.30.470,motor sequencing,,2025.1.1,59.83215882123105,2025-10-04 18h46.38.337251 +0530,
-150,z,3,3,0,z,1,0.5289428000105545,None,0,3,3,3,,,,,7.5356206000142265,,7.5200045999954455,7.5356206000142265,8.51987790002022,8.51987790002022,8.51987790002022,8.51987790002022,8.535879300005035,9.519922200008295,9.519922200008295,10.05444219999481,z,1,0.5289428000105545,None,,,,,04,001,2025-10-04_18h46.30.470,motor sequencing,,2025.1.1,59.83215882123105,2025-10-04 18h46.38.337251 +0530,
-50,x,4,0,1,x,1,0.5214593000127934,None,1,0,4,0,,,,,10.06901150001795,,10.055010600015521,10.06901150001795,11.069456099998206,11.069456099998206,11.069456099998206,11.069456099998206,11.069456099998206,12.06971120001981,12.06971120001981,12.603603199997451,x,1,0.5214593000127934,None,,,,,04,001,2025-10-04_18h46.30.470,motor sequencing,,2025.1.1,59.83215882123105,2025-10-04 18h46.38.337251 +0530,
150,v,5,1,1,v,1,0.3359964999835938,None,1,1,5,1,,,,,12.619698199996492,,12.60397379999631,12.619698199996492,13.602640800003428,13.602640800003428,13.602640800003428,13.602640800003428,13.61968900001375,14.602932100009639,14.602932100009639,14.953902000008384,v,1,0.3359964999835938,None,,,,,04,001,2025-10-04_18h46.30.470,motor sequencing,,2025.1.1,59.83215882123105,2025-10-04 18h46.38.337251 +0530,
50,c,6,2,1,c,1,0.5261949999839999,None,1,2,6,2,,,,,14.969327500002692,,14.954293100017821,14.969327500002692,15.96898790000705,15.96898790000705,15.96898790000705,15.96898790000705,15.96898790000705,16.9689130000188,16.9689130000188,17.502810300007695,c,1,0.5261949999839999,None,,,,,04,001,2025-10-04_18h46.30.470,motor sequencing,,2025.1.1,59.83215882123105,2025-10-04 18h46.38.337251 +0530,
-150,z,7,3,1,z,1,0.6256936999852769,None,1,3,7,3,,,,,17.519043000007514,,17.503215800010366,17.519043000007514,18.50239780000993,18.50239780000993,18.50239780000993,18.50239780000993,18.518986700015375,19.50236440001754,19.50236440001754,20.136189200013177,z,1,0.6256936999852769,None,,,,,04,001,2025-10-04_18h46.30.470,motor sequencing,,2025.1.1,59.83215882123105,2025-10-04 18h46.38.337251 +0530,
-50,x,8,0,2,x,1,0.31916670000646263,None,2,0,8,0,,,,,20.152286099997582,,20.136645199992927,20.152286099997582,21.135604400013108,21.135604400013108,21.135604400013108,21.135604400013108,21.152333500009263,22.135655100020813,22.135655100020813,22.469853000016883,x,1,0.31916670000646263,None,,,,,04,001,2025-10-04_18h46.30.470,motor sequencing,,2025.1.1,59.83215882123105,2025-10-04 18h46.38.337251 +0530,
150,v,9,1,2,v,1,1.0826119999983348,None,2,1,9,1,,,,,22.485734799993224,,22.47035610000603,22.485734799993224,23.46916280000005,23.46916280000005,23.46916280000005,23.46916280000005,23.485588500014273,24.46916870001587,24.46916870001587,25.55313310000929,v,1,1.0826119999983348,None,,,,,04,001,2025-10-04_18h46.30.470,motor sequencing,,2025.1.1,59.83215882123105,2025-10-04 18h46.38.337251 +0530,
